rank,company,website,hq,description,score,initiative_name,initiative_date,why_search_api,initiative_summary,employee_count,searchApiRelevance,buildVsBuy,initiativeScale,japaneseCompany,concreteInitiative,overall_tier,confidence,concerns,verify_exists,verify_website,corrections,sources,segment
1,Stockmark Inc.,https://stockmark.co.jp/,"Tokyo, Japan","Enterprise AI knowledge and research platform for R&D, market analysis, and business intelligence.",100,Aconnect,2025-07,"Aconnect needs a search API to continuously retrieve, index, and summarize relevant external sources like news, patents, and papers.","Aconnect is Stockmark's enterprise AI agent platform for research and knowledge work. It combines internal knowledge with large-scale external sources such as news, patents, and academic papers to help teams monitor markets and explore technical topics.",130,strong,strong,strong,yes,yes,exceptional,high,Focuses on enterprise knowledge/research rather than a general-purpose public web search product.,confirmed,valid,,,ai_products
2,"Uzabase, Inc.",https://www.uzabase.com/,"Chiyoda-ku, Tokyo",Business intelligence and economic information platform for market analysis and corporate strategy.,100,Speeda AI Agent,2025-06,"Speeda AI Agent needs a search API to gather current market, company, and industry information for Flash Research and Deep Research workflows.",Speeda AI Agent is an agentic research tool built into Uzabase's business intelligence platform. It supports rapid 'Flash Research' and deeper analysis workflows for market research and competitive intelligence.,417,strong,strong,strong,yes,yes,exceptional,high,"Relies heavily on proprietary business data, so it is not a pure open-web search product.",confirmed,valid,,,ai_products
3,LY Corporation,https://lycorp.co.jp/,"Chiyoda, Tokyo, Japan",Japanese internet company operating Yahoo! JAPAN and LINE with large-scale consumer and enterprise web services.,100,Agent i,2026-04,"Agent i needs live retrieval from search, news, weather, and shopping data to answer users accurately and perform tasks.","Agent i is a unified AI agent brand across LINE and Yahoo! JAPAN, positioned as an everyday assistant for users. LY is expanding it toward task execution, memory, and business use cases across its ecosystem.",1485,strong,strong,strong,yes,yes,exceptional,high,,confirmed,valid,,https://www.lycorp.co.jp/en/news/release/020398/ | https://www.lycorp.co.jp/ja/news/release/020366/,partnerships
4,DATAZORA株式会社,https://datazora.com/,"Minato, Tokyo, Japan","Enterprise AI data infrastructure and corporate intelligence platform for sales, GTM, and investment research.",100,KIJI (Corporate Intelligence AI API / MCP Server),2026-03,KIJI is effectively a search-and-context API for agents that need current Japanese corporate intelligence.,"KIJI is an AI data infrastructure layer that exposes structured and unstructured Japanese company information through APIs and MCP servers. It is designed to power agents and search-driven workflows for sales, market intelligence, and investment research.",6,strong,strong,strong,yes,yes,exceptional,high,,confirmed,valid,,https://www.datazora.com/ | https://datazora.com/en,partnerships
5,株式会社三菱総合研究所,https://www.mri.co.jp/,"Chiyoda-ku, Tokyo, Japan",Japanese think tank and consulting firm that also provides IT services and analytics products.,99,AI Memory RAG,2026-07,It needs a search API to continuously retrieve and reason over current news and other external documents for intelligence analysis.,"AI Memory RAG is a retrieval-augmented system that tracks time-series changes in information and supports decision-making over documents such as news and meeting minutes. It is designed for intelligence analysis, where freshness and historical context both matter.",4287,strong,medium,strong,yes,yes,exceptional,high,,confirmed,valid,,https://prtimes.jp/main/html/rd/p/000000265.000050210.html,jp_tech_press
6,"Japan Exchange Group, Inc.",https://www.jpx.co.jp/,"Tokyo, Japan",Japan's market infrastructure and exchange operator.,99,J-LENS,2025-12,"Its core function is searching and synthesizing disclosure filings, which is exactly the kind of workflow a web search API or document search API serves.",J-LENS is an AI-powered natural-language search service for corporate disclosure documents. It lets users query TDnet disclosures and retrieve relevant filings for market and company intelligence.,,strong,medium,strong,yes,yes,exceptional,high,,confirmed,valid,"The named initiative is operated/developed by JPX Market Innovation & Research, Inc. (JPXI), a JPX group company, rather than clearly by the listed parent legal entity Japan Exchange Group, Inc. itself. Source: https://www.jpx.co.jp/english/corporate/news/news-releases/6020/20251209-01.html",https://www.jpx.co.jp/english/corporate/news/news-releases/6020/20251209-01.html,jp_tech_press
7,Nikkei Inc.,https://www.nikkei.com/,"Tokyo, Japan",Business news and financial information publisher and data platform operator.,87,NIKKEI KAI,2025-03,"The service depends on rapid retrieval of current articles and data from Nikkei's databases, which is a direct search API use case.",NIKKEI KAI is a professional generative-AI research service built on Nikkei's extensive news and economic databases. It provides citation-backed answers and report drafting for corporate users who need current market intelligence.,1500,strong,strong,strong,yes,yes,strong,high,,confirmed,valid,The corporate information website for Nikkei Inc. is https://www.nikkei.co.jp/nikkeiinfo/ ; https://www.nikkei.com/ is a Nikkei-operated news/service site rather than the main corporate profile site. Sources: https://www.nikkei.co.jp/nikkeiinfo/en/corporate/ ; https://www.nikkei.com/lounge/privacy/en/privacy.html,https://www.nikkei.com/article/DGXZQOUC13DEX0T10C25A3000000/ | https://prtimes.jp/main/html/rd/p/000000596.000011115.html,jp_tech_press
8,JAPAN AI株式会社,https://japan-ai.co.jp/,"Shinjuku, Tokyo, Japan",AI development and consulting company focused on enterprise AI agents and RAG systems.,87,Multimodal RAG implementation,2025-09,"It needs a search API to retrieve and ground answers across enterprise documents, including visual materials and structured data.",This initiative extends RAG to both text and visual data so enterprises can ask questions over complex technical documents like drawings and charts. It is aimed at manufacturing and other document-heavy workflows.,,strong,strong,strong,yes,yes,strong,high,,confirmed,valid,,https://ascii.jp/elem/000/004/319/4319299/,jp_tech_press
9,Sparticle株式会社,https://gbase.ai/,"Chuo, Tokyo, Japan",Developer of an AI knowledge-agent platform for enterprise knowledge work.,87,GBase,2025-06,"A web search API fits when the agent has to gather current facts, market context, or source material beyond internal files.",GBase is an AI knowledge agent that helps employees gather information and produce documents across enterprise tools. It uses RAG and agent workflows to turn internal company content into actionable answers and outputs.,,strong,strong,strong,yes,yes,strong,high,,confirmed,valid,initiative_date should be specified as 2025-06-11 for the formal GBase release (source: https://news.sparticle.com/news/pr_gbase/).,https://prtimes.jp/main/html/rd/p/000000115.000087269.html | https://ascii.jp/elem/000/004/281/4281053/,jp_tech_press
10,株式会社FRONTEO,https://www.fronteo.com/,"Tokyo, Japan",Provider of legal-tech and enterprise AI solutions based on its proprietary KIBIT engine.,87,KIBIT Libria,2025-12,It needs retrieval infrastructure for enterprise document search and can use live web search to enrich or validate evidence outside internal files.,KIBIT Libria is an AI knowledge-management and document-analysis product built on FRONTEO's proprietary AI engine. It searches large unstructured document sets and uses generative AI to summarize and support decision-making.,,strong,strong,strong,yes,yes,strong,high,,confirmed,valid,initiative_date should be specified as 2025-12-09 for initial KIBIT Libria launch; a later 2026-05-21 update added generative-AI API integration. Sources: https://www.fronteo.com/news/pr/20251209 and https://www.fronteo.com/news/pr/20260521,https://www.fronteo.com/news/pr/20251209,jp_tech_press
